StationID,LabCode,SampleType,QABatch,Species,Dilution,Concentration,EPCode,Units,StatisticalTest,Mean,N,StdDev,PctControl,SigEffect,QACode,Comment
6335,GTCN,RESULT,GC_B08MG1_S_TOX,MG,-99,-99,NPA,PERCENT,t-test,94.19999,5,13.59043,90.40306,NSC,AEK,
6335,OCSD,Result,OCSD03,EE,-99,-99,SP10,PERCENT,t-test,92,5,7.58287,96.8421,NSC,A,
6343,GTCN,RESULT,GC_B08MG1_S_TOX,MG,-99,-99,NPA,PERCENT,t-test,98.8,5,8.34865,94.81765,NSC,AEK,
6343,OCSD,Result,OCSD03,EE,-99,-99,SP10,PERCENT,t-test,93,5,6.7082,97.89473,NSC,A,
6344,GTCN,RESULT,GC_B08MG1_S_TOX,MG,-99,-99,NPA,PERCENT,t-test,77,5,17.37814,73.89635,SC,AEK,
6344,OCSD,Result,OCSD03,EE,-99,-99,SP10,PERCENT,t-test,66,5,8.94427,69.47368,SC,A,
6350,GTCN,RESULT,GC_B08MG1_S_TOX,MG,-99,-99,NPA,PERCENT,t-test,73.4,5,21.76694,70.44145,SC,AEK,
6350,OCSD,Result,OCSD03,EE,-99,-99,SP10,PERCENT,t-test,79,5,6.5192,83.15789,SC,A,
6354,GTCN,RESULT,GC_B08EE3_S_TOX,EE,-99,-99,SP10,PERCENT,t-test,86,5,13.87443,87.7551,NSC,AK,
6354,GTCN,RESULT,GC_B08MG3_S_TOX,MG,-99,-99,NPA,PERCENT,t-test,95.4,5,9.20869,106.95067,NSC,AK,
6355,ABC,Result,EOHT 9.1.2008,EE,-99,-99,SP10,PERCENT,t-test,92,5,2.73861,98.92472,NSC,A,
6355,GTCN,RESULT,GC_B08MG3_S_TOX,MG,-99,-99,NPA,PERCENT,t-test,96.8,5,6.83373,108.52017,NSC,AK,
6362,GTCN,RESULT,GC_B08EE3_S_TOX,EE,-99,-99,SP10,PERCENT,t-test,71,5,15.16575,72.44898,SC,AK,
6362,GTCN,RESULT,GC_B08MG3_S_TOX,MG,-99,-99,NPA,PERCENT,t-test,91.4,5,12.36122,102.46636,NSC,AK,
6363,GTCN,RESULT,GC_B08EE3_S_TOX,EE,-99,-99,SP10,PERCENT,t-test,81,5,12.94217,82.65306,SC,AK,
6363,GTCN,RESULT,GC_B08MG3_S_TOX,MG,-99,-99,NPA,PERCENT,t-test,100,5,9.97496,112.10762,NSC,AK,
6372,GTCN,RESULT,GC_B08EE3_S_TOX,EE,-99,-99,SP10,PERCENT,t-test,93,5,8.3666,94.89795,NSC,AK,
6372,GTCN,RESULT,GC_B08MG3_S_TOX,MG,-99,-99,NPA,PERCENT,t-test,82.4,5,8.01872,92.37667,NSC,AK,
6375,GTCN,RESULT,GC_B08EE6_S_TOX,EE,-99,-99,SP10,PERCENT,t-test,82,5,12.5499,87.23403,NSC,AEK,
6375,GTCN,RESULT,GC_B08MG6_S_TOX,MG,-99,-99,NPA,PERCENT,t-test,80,5,10.6066,94.56264,NSC,AK,
6382,GTCN,RESULT,GC_B08EE6_S_TOX,EE,-99,-99,SP10,PERCENT,t-test,86,5,7.41619,91.48936,SC,AEK,
6382,GTCN,RESULT,GC_B08MG6_S_TOX,MG,-99,-99,NPA,PERCENT,t-test,6.4,5,13.20227,7.56501,SC,AK,
6383,CLAEMD,RESULT,B0808071batch2b.E,EE,-99,-99,SP10,PERCENT,t-test,80,5,5,84.21052,SC,A,
6383,NE,Result,0809-S251,MG,-99,-99,NPA,PERCENT,t-test,64,5,34.87836,73.90299,NSC,E,
6384,CLAEMD,RESULT,B0808071batch2b.E,EE,-99,-99,SP10,PERCENT,t-test,89,5,7.41619,93.68421,NSC,A,
6384,NE,Result,0809-S251,MG,-99,-99,NPA,PERCENT,t-test,89.59999,5,21.33775,103.4642,NSC,E,
6386,CLAEMD,RESULT,B0807071batch2a.E,EE,-99,-99,SP10,PERCENT,t-test,69,5,13.87443,75.82417,SC,A,
6386,NE,Result,0809-S251,MG,-99,-99,NPA,PERCENT,t-test,84.4,5,9.60728,97.45958,NSC,E,
