"StationID","SampleDepth","SampleDepthUnits","SampleType","QABatch","Matrix","LabCode","Species","Dilution","Concentration","ConcentrationUnits","EndPoint","LabRep","Value","ValueUnits","QACode","Comments"
"6383",,,"RESULT","B0808071batch2b.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",4,"85","PERCENT","A",
"6383",,,"RESULT","B0808071batch2b.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",5,"75","PERCENT","A",
"6384",,,"RESULT","B0808071batch2b.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",1,"90","PERCENT","A",
"6384",,,"RESULT","B0808071batch2b.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",2,"90","PERCENT","A",
"6384",,,"RESULT","B0808071batch2b.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",3,"80","PERCENT","A",
"6384",,,"RESULT","B0808071batch2b.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",4,"85","PERCENT","A",
"6384",,,"RESULT","B0808071batch2b.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",5,"100","PERCENT","A",
"6404",,,"RESULT","B0808071batch2b.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",1,"80","PERCENT","A",
"6404",,,"RESULT","B0808071batch2b.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",2,"80","PERCENT","A",
"6404",,,"RESULT","B0808071batch2b.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",3,"85","PERCENT","A",
"6404",,,"RESULT","B0808071batch2b.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",4,"90","PERCENT","A",
"6404",,,"RESULT","B0808071batch2b.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",5,"75","PERCENT","A",
"6416",,,"RESULT","B0808071batch2b.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",1,"100","PERCENT","A",
"6416",,,"RESULT","B0808071batch2b.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",2,"90","PERCENT","A",
"6416",,,"RESULT","B0808071batch2b.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",3,"85","PERCENT","A",
"6416",,,"RESULT","B0808071batch2b.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",4,"100","PERCENT","A",
"6416",,,"RESULT","B0808071batch2b.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",5,"80","PERCENT","A",
"6428",,,"RESULT","B0808071batch2b.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",1,"100","PERCENT","A",
"6428",,,"RESULT","B0808071batch2b.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",2,"100","PERCENT","A",
"6428",,,"RESULT","B0808071batch2b.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",3,"100","PERCENT","A",
"6428",,,"RESULT","B0808071batch2b.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",4,"100","PERCENT","A",
"6428",,,"RESULT","B0808071batch2b.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",5,"95","PERCENT","A",
"6450",,,"RESULT","B0808071batch2b.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",1,"90","PERCENT","A",
"6450",,,"RESULT","B0808071batch2b.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",2,"95","PERCENT","A",
"6450",,,"RESULT","B0808071batch2b.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",3,"85","PERCENT","A",
"6450",,,"RESULT","B0808071batch2b.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",4,"75","PERCENT","A",
"6450",,,"RESULT","B0808071batch2b.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",5,"100","PERCENT","A",
"6460",,,"RESULT","B0808071batch3a.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",1,"100","PERCENT","A",
"6460",,,"RESULT","B0808071batch3a.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",2,"95","PERCENT","A",
"6460",,,"RESULT","B0808071batch3a.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",3,"100","PERCENT","A",
"6460",,,"RESULT","B0808071batch3a.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",4,"95","PERCENT","A",
"6460",,,"RESULT","B0808071batch3a.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",5,"90","PERCENT","A",
"6466",,,"RESULT","B0808071batch3a.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",1,"85","PERCENT","A",
"6466",,,"RESULT","B0808071batch3a.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",2,"100","PERCENT","A",
"6466",,,"RESULT","B0808071batch3a.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",3,"90","PERCENT","A",
"6466",,,"RESULT","B0808071batch3a.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",4,"95","PERCENT","A",
"6466",,,"RESULT","B0808071batch3a.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",5,"90","PERCENT","A",
"6467",,,"RESULT","B0808071batch3a.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",1,"90","PERCENT","A",
"6467",,,"RESULT","B0808071batch3a.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",2,"90","PERCENT","A",
"6467",,,"RESULT","B0808071batch3a.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",3,"95","PERCENT","A",
"6467",,,"RESULT","B0808071batch3a.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",4,"90","PERCENT","A",
"6467",,,"RESULT","B0808071batch3a.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",5,"90","PERCENT","A",
"6449",,,"RESULT","B0808071batch3a.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",1,"90","PERCENT","A",
